Weights_0,Weights_1,Weights_2,Weights_3,Weights_4,Weights_5,Weights_6,Weights_7,Weights_8,Weights_9
1.601783742256361609e-01
1.403687525766847410e-01
1.159004288994481685e-01
1.028773552699968896e-01
1.109607843204448718e-01
9.979152822025734448e-02
7.730264465961433906e-02
4.999856658359268236e-02
4.086459376011189470e-02
2.750210975235048427e-02
