Index,Suffix,Count,Label
736,k12.az.us,1,1
737,in.us,1,1
738,k12.md.us,1,1
739,if.ua,1,0
740,k12.nc.us,1,1
741,k12.nh.us,1,1
742,k12.ok.us,1,1
743,i.ph,1,1
744,k12.tx.us,1,1
745,k12.ut.us,1,1
746,k12.vt.us,1,1
747,k12.wa.us,1,1
748,catering,1,0
749,k12.wy.us,1,1
750,kent.sch.uk,1,1
751,kepno.pl,1,0
752,kh.ua,1,0
753,kochi.jp,1,1
754,konin.pl,1,0
755,kr.ua,1,0
756,ky,1,1
757,ky.us,1,1
758,net.ck,1,1
759,gov.lk,1,1
760,net.ec,1,0
761,net.ge,1,1
762,org.ma,1,1
763,org.mt,1,0
764,from.hr,1,1
765,fo,1,1
766,org.pt,1,0
767,org.sz,1,0
768,falkirk.sch.uk,1,1
769,org.uy,1,1
770,co.bi,1,0
771,org.ws,1,0
772,equipment,1,0
773,org.zm,1,0
774,pa.gov.br,1,0
775,elblag.pl,1,0
776,parma.it,1,0
777,edu.uy,1,1
778,pe.kr,1,0
779,pf,1,0
780,pl.ua,1,0
781,police.uk,1,1
782,powys.sch.uk,1,1
783,pr.gov.br,1,0
784,press,1,0
785,edu.om,1,1
786,qld.edu.au,1,1
787,ra.it,1,0
788,radio.br,1,0
789,org.lb,1,1
790,org.je,1,1
791,org.ir,1,0
792,gouv.fr,1,1
793,net.hk,1,1
794,net.id,1,1
795,net.mt,1,1
796,net.np,1,0
797,net.nr,1,1
798,net.pk,1,0
799,net.py,1,1
800,net.tw,1,0
801,gov.eg,1,1
802,gov.br,1,0
803,ng,1,0
804,ni.sch.uk,1,1
805,nm.us,1,1
806,org.do,1,0
807,ntr.br,1,0
808,gob.do,1,0
809,okinawa.jp,1,1
810,om,1,0
811,gob.ar,1,0
812,arts.ro,1,0
813,go.cr,1,0
814,gm,1,0
815,ar.us,1,1
816,org.af,1,1
817,org.al,1,0
818,org.bw,1,1
819,com.et,1,0
