Time,Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z
87,0.1652,-0.1365,-7.5022,-0.0236,-0.0144,-0.0057
88,0.1628,-0.1389,-7.4867,-0.0234,-0.0136,-0.0049
89,0.1568,-0.1413,-7.501,-0.0229,-0.0135,-0.0059
90,0.1544,-0.164,-7.4771,-0.0234,-0.0128,-0.0056
91,0.1748,-0.1377,-7.4759,-0.0232,-0.0137,-0.0059
92,0.1712,-0.1508,-7.4855,-0.023,-0.0139,-0.0048
93,0.1724,-0.1472,-7.4759,-0.0237,-0.0136,-0.0063
94,0.1736,-0.1508,-7.4939,-0.0236,-0.0136,-0.0055
95,0.158,-0.1233,-7.5226,-0.0237,-0.0129,-0.0056
96,0.1736,-0.1413,-7.4831,-0.0226,-0.0137,-0.0059
97,0.1724,-0.1712,-7.4735,-0.023,-0.0136,-0.0052
98,0.1508,-0.1604,-7.4962,-0.024,-0.0135,-0.0056
99,0.1425,-0.146,-7.4843,-0.0233,-0.0132,-0.006
100,0.1772,-0.1341,-7.501,-0.0236,-0.0132,-0.0056
101,0.1556,-0.1472,-7.4843,-0.0238,-0.0136,-0.0061
102,0.1556,-0.1484,-7.4903,-0.0229,-0.0139,-0.0065
103,0.1688,-0.1401,-7.4771,-0.0238,-0.0133,-0.0059
104,0.1532,-0.1616,-7.4831,-0.0233,-0.0131,-0.0056
105,0.1676,-0.1664,-7.4831,-0.024,-0.0139,-0.0051
106,0.1676,-0.1544,-7.4891,-0.0228,-0.0128,-0.0047
107,0.1592,-0.1425,-7.5022,-0.0238,-0.0133,-0.006
108,0.1736,-0.1592,-7.5094,-0.0238,-0.0132,-0.006
109,0.1592,-0.1496,-7.4783,-0.0232,-0.0133,-0.0059
110,0.1604,-0.1389,-7.4615,-0.0224,-0.0132,-0.0045
111,0.1748,-0.1437,-7.4974,-0.0234,-0.0127,-0.0056
112,0.1712,-0.1448,-7.4903,-0.024,-0.0133,-0.0052
113,0.1484,-0.1425,-7.4819,-0.0248,-0.0132,-0.0047
114,0.1604,-0.1413,-7.4759,-0.0234,-0.014,-0.0053
115,0.1592,-0.1532,-7.5022,-0.023,-0.0128,-0.0052
116,0.1676,-0.1556,-7.4927,-0.0233,-0.0136,-0.0055
117,0.1544,-0.1413,-7.513,-0.0233,-0.0136,-0.0055
118,0.17,-0.1556,-7.507,-0.0225,-0.0133,-0.0067
119,0.164,-0.152,-7.513,-0.0233,-0.0133,-0.0055
120,0.1688,-0.1592,-7.5106,-0.0234,-0.0139,-0.006
121,0.1676,-0.158,-7.4795,-0.0242,-0.0131,-0.0059
122,0.1508,-0.1377,-7.4962,-0.0226,-0.0133,-0.0055
123,0.1532,-0.1616,-7.4687,-0.0238,-0.0133,-0.0065
124,0.1808,-0.1604,-7.4807,-0.0236,-0.0137,-0.0057
125,0.1736,-0.1664,-7.4879,-0.0236,-0.014,-0.006
126,0.1832,-0.1472,-7.4939,-0.0236,-0.0132,-0.0055
127,0.1688,-0.1401,-7.5106,-0.0237,-0.0139,-0.0053
128,0.1676,-0.1281,-7.5046,-0.0233,-0.0136,-0.0057
129,0.1616,-0.1269,-7.4939,-0.0234,-0.0137,-0.0053
130,0.1544,-0.1592,-7.4819,-0.0226,-0.0132,-0.0065
131,0.1664,-0.1592,-7.5046,-0.023,-0.0143,-0.0051
132,0.1652,-0.146,-7.4962,-0.0234,-0.0137,-0.0059
133,0.1484,-0.146,-7.5034,-0.0229,-0.0133,-0.0057
134,0.1867,-0.1353,-7.4915,-0.024,-0.0132,-0.0049
135,0.1724,-0.1688,-7.4879,-0.0237,-0.0135,-0.0053
136,0.1736,-0.1484,-7.4962,-0.0228,-0.0143,-0.0052
137,0.1568,-0.1425,-7.4771,-0.0245,-0.0143,-0.0057
138,0.1532,-0.1544,-7.5022,-0.0234,-0.0143,-0.0052
139,0.1616,-0.1592,-7.495,-0.023,-0.0131,-0.0059
140,0.1652,-0.1448,-7.4903,-0.0229,-0.0137,-0.0057
141,0.1628,-0.1508,-7.4723,-0.0233,-0.0139,-0.0052
142,0.1664,-0.176,-7.4986,-0.0234,-0.014,-0.0055
143,0.1544,-0.1137,-7.5034,-0.0232,-0.014,-0.0057
144,0.1796,-0.146,-7.4759,-0.0233,-0.0136,-0.0053
145,0.17,-0.1664,-7.4867,-0.0234,-0.014,-0.0053
146,0.1867,-0.1508,-7.4962,-0.0236,-0.0139,-0.0056
147,0.1544,-0.1472,-7.4927,-0.0236,-0.0137,-0.0059
148,0.1616,-0.1532,-7.5046,-0.0233,-0.014,-0.0053
149,0.1712,-0.1484,-7.4891,-0.0232,-0.0139,-0.0052
150,0.1688,-0.1496,-7.4783,-0.0237,-0.0136,-0.0055
151,0.1616,-0.1425,-7.4687,-0.0229,-0.0129,-0.0056
152,0.1628,-0.1413,-7.4723,-0.0232,-0.0129,-0.0065
153,0.1688,-0.1604,-7.4843,-0.0237,-0.014,-0.0056
154,0.1879,-0.1353,-7.5034,-0.0233,-0.0136,-0.0053
155,0.1772,-0.1425,-7.4927,-0.0232,-0.0136,-0.0067
156,0.1736,-0.1508,-7.4974,-0.0232,-0.0137,-0.0051
157,0.176,-0.152,-7.5202,-0.0228,-0.0131,-0.0051
158,0.1724,-0.1616,-7.5022,-0.0236,-0.0137,-0.0056
159,0.1556,-0.1544,-7.495,-0.0237,-0.0141,-0.0051
160,0.182,-0.1532,-7.4962,-0.0238,-0.0136,-0.0057
161,0.182,-0.1425,-7.4974,-0.0228,-0.0141,-0.0051
162,0.1688,-0.1245,-7.4939,-0.0229,-0.0139,-0.006
163,0.1688,-0.1496,-7.5022,-0.0224,-0.0136,-0.0059
164,0.1592,-0.1413,-7.4939,-0.0226,-0.0133,-0.0064
165,0.176,-0.1269,-7.4903,-0.024,-0.0133,-0.004
166,0.158,-0.1508,-7.4915,-0.0233,-0.014,-0.0048
167,0.1532,-0.1544,-7.4939,-0.0224,-0.0135,-0.0057
168,0.1664,-0.1688,-7.4843,-0.0236,-0.0131,-0.006
169,0.176,-0.1448,-7.4986,-0.0233,-0.0132,-0.0065
170,0.1712,-0.1508,-7.5178,-0.0237,-0.0132,-0.0064
171,0.1676,-0.1508,-7.501,-0.0226,-0.0141,-0.0055
172,0.1724,-0.1544,-7.4879,-0.0233,-0.0139,-0.0051
173,0.1616,-0.1472,-7.495,-0.0229,-0.0136,-0.0057
174,0.1568,-0.1425,-7.5034,-0.0229,-0.0127,-0.0047
175,0.1604,-0.1496,-7.4735,-0.0228,-0.0135,-0.0051
176,0.1736,-0.1616,-7.4879,-0.0234,-0.0143,-0.0055
177,0.176,-0.1616,-7.5106,-0.0228,-0.0141,-0.0052
178,0.1879,-0.1305,-7.4915,-0.0228,-0.0131,-0.0059
179,0.1616,-0.146,-7.4627,-0.0234,-0.014,-0.0053
180,0.1891,-0.1317,-7.4555,-0.0238,-0.0136,-0.0059
181,0.1712,-0.1221,-7.4927,-0.0238,-0.0136,-0.0061
182,0.164,-0.1496,-7.4579,-0.0238,-0.0133,-0.0053
183,0.176,-0.1616,-7.4771,-0.0237,-0.0135,-0.0053
184,0.1628,-0.1377,-7.5214,-0.0226,-0.014,-0.0053
185,0.164,-0.1508,-7.5106,-0.0228,-0.0135,-0.0059
186,0.1652,-0.1413,-7.5046,-0.0238,-0.0129,-0.0057
187,0.1628,-0.1544,-7.4819,-0.0234,-0.014,-0.0051
188,0.1616,-0.1401,-7.5142,-0.0228,-0.0133,-0.0056
189,0.1736,-0.1556,-7.4843,-0.0238,-0.0139,-0.0059
190,0.1736,-0.1425,-7.5022,-0.0238,-0.0135,-0.0053
191,0.1628,-0.1377,-7.4962,-0.023,-0.0132,-0.0056
192,0.1832,-0.1353,-7.4927,-0.0234,-0.0128,-0.0059
193,0.1544,-0.1245,-7.4867,-0.0241,-0.0147,-0.0059
194,0.1508,-0.1448,-7.5034,-0.0232,-0.0137,-0.006
195,0.1724,-0.1341,-7.5058,-0.0232,-0.0135,-0.0056
196,0.1736,-0.1472,-7.4927,-0.0233,-0.0144,-0.0063
197,0.1556,-0.1664,-7.4927,-0.0233,-0.0141,-0.0067
198,0.1832,-0.1472,-7.4795,-0.0232,-0.0152,-0.0056
199,0.1604,-0.1496,-7.4903,-0.0232,-0.0149,-0.0056
200,0.1592,-0.1496,-7.5058,-0.0228,-0.0147,-0.0056
201,0.1604,-0.1568,-7.4687,-0.0233,-0.0135,-0.0059
202,0.17,-0.1269,-7.5142,-0.0232,-0.0137,-0.0065
203,0.164,-0.1401,-7.4843,-0.0236,-0.0137,-0.006
204,0.1604,-0.1688,-7.501,-0.0244,-0.0147,-0.0061
205,0.1616,-0.1281,-7.4819,-0.0237,-0.0153,-0.0053
206,0.1592,-0.1293,-7.4819,-0.0241,-0.0145,-0.0056
207,0.1748,-0.146,-7.4819,-0.0244,-0.0149,-0.0055
208,0.158,-0.1592,-7.5166,-0.0233,-0.0157,-0.0061
209,0.1796,-0.1556,-7.4939,-0.023,-0.0151,-0.006
210,0.1652,-0.1353,-7.5142,-0.0233,-0.0141,-0.0049
211,0.1556,-0.1532,-7.5022,-0.0232,-0.0145,-0.0053
212,0.1628,-0.1616,-7.4915,-0.0228,-0.0148,-0.0057
213,0.1437,-0.1508,-7.4663,-0.0237,-0.0151,-0.0056
214,0.1652,-0.1508,-7.495,-0.0228,-0.0144,-0.0044
215,0.1784,-0.146,-7.5058,-0.023,-0.0153,-0.0056
216,0.1556,-0.1389,-7.4783,-0.0216,-0.0163,-0.0057
217,0.1628,-0.146,-7.4699,-0.0228,-0.0159,-0.006
218,0.1724,-0.1317,-7.4663,-0.023,-0.0151,-0.0056
219,0.1556,-0.1173,-7.4915,-0.0233,-0.0145,-0.0061
220,0.1604,-0.1437,-7.5118,-0.0233,-0.0132,-0.0052
221,0.1592,-0.1413,-7.4986,-0.0234,-0.0143,-0.0056
222,0.1676,-0.1389,-7.495,-0.0225,-0.0151,-0.0055
223,0.1508,-0.1604,-7.4962,-0.0238,-0.0148,-0.0063
224,0.1604,-0.1365,-7.4915,-0.0234,-0.0144,-0.0053
225,0.164,-0.1293,-7.5142,-0.0233,-0.0132,-0.0056
226,0.1688,-0.1293,-7.495,-0.0228,-0.0139,-0.0053
227,0.1496,-0.1377,-7.519,-0.0237,-0.0135,-0.0057
228,0.1568,-0.1544,-7.5058,-0.0232,-0.0145,-0.0057
229,0.176,-0.1389,-7.5214,-0.0236,-0.0132,-0.0059
230,0.1676,-0.1365,-7.4807,-0.0237,-0.0133,-0.0055
231,0.1604,-0.1664,-7.4699,-0.0232,-0.0125,-0.0056
232,0.164,-0.158,-7.4962,-0.0233,-0.0141,-0.0051
233,0.1688,-0.1437,-7.4855,-0.0236,-0.0141,-0.0055
234,0.1712,-0.152,-7.513,-0.0232,-0.0145,-0.0053
235,0.1664,-0.1544,-7.507,-0.0237,-0.0136,-0.0065
236,0.1688,-0.1437,-7.4986,-0.0238,-0.0128,-0.0061
237,0.1652,-0.1484,-7.4998,-0.024,-0.0141,-0.0056
238,0.1496,-0.1556,-7.5022,-0.0237,-0.0127,-0.0053
239,0.1592,-0.1448,-7.501,-0.0233,-0.0133,-0.006
240,0.1544,-0.1448,-7.4663,-0.0236,-0.0132,-0.0057
241,0.1664,-0.164,-7.5082,-0.023,-0.0132,-0.0053
242,0.152,-0.1233,-7.501,-0.0224,-0.0137,-0.0057
243,0.158,-0.1556,-7.4687,-0.0236,-0.0136,-0.0055
244,0.1748,-0.1425,-7.4915,-0.0232,-0.0143,-0.0056
245,0.1496,-0.1604,-7.4663,-0.0234,-0.0144,-0.0055
246,0.1544,-0.158,-7.4843,-0.0226,-0.014,-0.0057
247,0.1664,-0.1401,-7.519,-0.0236,-0.0155,-0.0053
248,0.164,-0.1496,-7.4891,-0.0229,-0.0137,-0.006
249,0.1724,-0.1305,-7.495,-0.0228,-0.0153,-0.0055
250,0.1676,-0.1401,-7.5154,-0.0241,-0.0149,-0.0057
251,0.1448,-0.1341,-7.4986,-0.0237,-0.0139,-0.0051
252,0.17,-0.1413,-7.4807,-0.0237,-0.0135,-0.006
