Elapsed Time (s), Actual Time, Emotion
1.98, 2025-01-09 14:39:48, happy
2.51, 2025-01-09 14:39:49, happy
3.03, 2025-01-09 14:39:50, neutral
3.61, 2025-01-09 14:39:50, neutral
4.47, 2025-01-09 14:39:51, neutral
5.20, 2025-01-09 14:39:52, neutral
7.11, 2025-01-09 14:39:54, neutral
7.71, 2025-01-09 14:39:54, neutral
8.34, 2025-01-09 14:39:55, neutral
9.13, 2025-01-09 14:39:56, neutral
9.77, 2025-01-09 14:39:56, neutral
10.38, 2025-01-09 14:39:57, neutral
11.18, 2025-01-09 14:39:58, neutral
11.79, 2025-01-09 14:39:58, happy
12.41, 2025-01-09 14:39:59, happy
13.03, 2025-01-09 14:40:00, happy
13.64, 2025-01-09 14:40:00, happy
14.24, 2025-01-09 14:40:01, happy
14.81, 2025-01-09 14:40:01, happy
15.40, 2025-01-09 14:40:02, happy
15.99, 2025-01-09 14:40:03, happy
16.72, 2025-01-09 14:40:03, neutral
17.33, 2025-01-09 14:40:04, neutral
17.79, 2025-01-09 14:40:04, neutral
18.27, 2025-01-09 14:40:05, neutral
18.73, 2025-01-09 14:40:05, neutral
19.32, 2025-01-09 14:40:06, neutral
19.94, 2025-01-09 14:40:06, happy
20.41, 2025-01-09 14:40:07, happy
20.89, 2025-01-09 14:40:07, happy
21.33, 2025-01-09 14:40:08, sad
21.91, 2025-01-09 14:40:08, neutral
22.48, 2025-01-09 14:40:09, neutral
23.04, 2025-01-09 14:40:10, neutral
23.59, 2025-01-09 14:40:10, sad
24.13, 2025-01-09 14:40:11, sad
24.70, 2025-01-09 14:40:11, sad
25.29, 2025-01-09 14:40:12, happy
25.83, 2025-01-09 14:40:12, happy
26.39, 2025-01-09 14:40:13, neutral
26.95, 2025-01-09 14:40:13, neutral
27.54, 2025-01-09 14:40:14, neutral
28.10, 2025-01-09 14:40:15, happy
28.64, 2025-01-09 14:40:15, happy
29.21, 2025-01-09 14:40:16, happy
29.82, 2025-01-09 14:40:16, happy
30.46, 2025-01-09 14:40:17, happy
31.06, 2025-01-09 14:40:18, happy
31.88, 2025-01-09 14:40:18, happy
32.71, 2025-01-09 14:40:19, happy
33.33, 2025-01-09 14:40:20, happy
33.93, 2025-01-09 14:40:20, happy
34.56, 2025-01-09 14:40:21, happy
35.19, 2025-01-09 14:40:22, happy
35.99, 2025-01-09 14:40:23, neutral
36.63, 2025-01-09 14:40:23, neutral
37.43, 2025-01-09 14:40:24, neutral
38.20, 2025-01-09 14:40:25, neutral
38.81, 2025-01-09 14:40:25, neutral
39.40, 2025-01-09 14:40:26, neutral
39.99, 2025-01-09 14:40:27, angry
40.57, 2025-01-09 14:40:27, sad
41.16, 2025-01-09 14:40:28, fear
41.62, 2025-01-09 14:40:28, sad
42.09, 2025-01-09 14:40:29, sad
42.62, 2025-01-09 14:40:29, sad
43.31, 2025-01-09 14:40:30, neutral
44.03, 2025-01-09 14:40:31, neutral
44.77, 2025-01-09 14:40:31, neutral
45.39, 2025-01-09 14:40:32, neutral
46.20, 2025-01-09 14:40:33, neutral
47.01, 2025-01-09 14:40:34, neutral
47.63, 2025-01-09 14:40:34, neutral
48.23, 2025-01-09 14:40:35, neutral
48.86, 2025-01-09 14:40:35, neutral
49.60, 2025-01-09 14:40:36, neutral
50.31, 2025-01-09 14:40:37, neutral
50.89, 2025-01-09 14:40:37, neutral
51.81, 2025-01-09 14:40:38, neutral
52.64, 2025-01-09 14:40:39, neutral
53.20, 2025-01-09 14:40:40, neutral
