Time,Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z
0,0.02873,-0.137667,-7.445967,-0.020784,-0.014123,-0.006795
1,0.021548,-0.122104,-7.491457,-0.020518,-0.013057,-0.005329
2,0.047884,-0.135272,-7.460332,-0.020251,-0.012657,-0.005462
3,0.025139,-0.101754,-7.48188,-0.020651,-0.013456,-0.005462
4,0.026336,-0.146046,-7.451953,-0.020118,-0.013723,-0.005196
5,0.034716,-0.141258,-7.455544,-0.020518,-0.01279,-0.005729
6,0.019154,-0.131681,-7.426814,-0.020118,-0.01279,-0.005995
7,0.026336,-0.149638,-7.460332,-0.021317,-0.013057,-0.005862
8,0.017957,-0.141258,-7.471107,-0.021051,-0.01359,-0.005462
9,0.023942,-0.124498,-7.445967,-0.020917,-0.01359,-0.006129
10,0.032322,-0.131681,-7.467515,-0.020251,-0.013057,-0.005329
11,0.015562,-0.11971,-7.485472,-0.021184,-0.012657,-0.005329
12,0.031125,-0.138864,-7.457938,-0.019985,-0.013456,-0.006262
13,0.033519,-0.137667,-7.448361,-0.020251,-0.01359,-0.005995
14,0.034716,-0.141258,-7.478289,-0.019718,-0.01319,-0.005462
15,0.031125,-0.137667,-7.460332,-0.019851,-0.012657,-0.005729
16,0.017957,-0.117316,-7.465121,-0.020518,-0.012657,-0.005063
17,0.034716,-0.146046,-7.443573,-0.019985,-0.013856,-0.005462
18,0.044293,-0.11971,-7.471107,-0.020118,-0.013456,-0.006129
19,0.021548,-0.123301,-7.447165,-0.019985,-0.013456,-0.005063
20,0.026336,-0.126893,-7.432799,-0.020518,-0.01279,-0.005596
21,0.015562,-0.147243,-7.46153,-0.020518,-0.01319,-0.005995
22,0.040701,-0.135272,-7.430405,-0.020518,-0.013323,-0.005862
23,0.022745,-0.11971,-7.438785,-0.019851,-0.013057,-0.006662
24,0.014365,-0.131681,-7.466318,-0.020384,-0.014123,-0.005729
25,0.016759,-0.138864,-7.469909,-0.020651,-0.013989,-0.006129
26,0.00838,-0.125696,-7.438785,-0.021051,-0.012923,-0.006262
27,0.027533,-0.152032,-7.46153,-0.020251,-0.013323,-0.005063
28,0.022745,-0.143652,-7.447165,-0.021051,-0.014522,-0.005862
29,0.043096,-0.132878,-7.441179,-0.020651,-0.013323,-0.005462
30,0.040701,-0.11971,-7.462727,-0.020518,-0.013323,-0.005329
31,0.025139,-0.123301,-7.43639,-0.020518,-0.013057,-0.005729
32,0.035913,-0.159214,-7.445967,-0.020518,-0.013856,-0.005462
33,0.02873,-0.112527,-7.438785,-0.019985,-0.01319,-0.005596
34,0.026336,-0.143652,-7.460332,-0.019851,-0.012923,-0.005729
35,0.023942,-0.132878,-7.442376,-0.020384,-0.013057,-0.005596
36,0.041899,-0.126893,-7.419631,-0.020118,-0.01319,-0.005862
37,0.020351,-0.142455,-7.437588,-0.020518,-0.013723,-0.005329
38,0.014365,-0.136469,-7.429208,-0.020118,-0.013723,-0.006262
39,0.034716,-0.147243,-7.474698,-0.021184,-0.013323,-0.005462
40,0.033519,-0.112527,-7.459136,-0.019851,-0.01319,-0.005729
41,0.041899,-0.142455,-7.44477,-0.020384,-0.012923,-0.005462
42,0.03711,-0.141258,-7.469909,-0.021051,-0.01359,-0.005196
43,0.023942,-0.136469,-7.454347,-0.020784,-0.013456,-0.00493
44,0.016759,-0.130484,-7.449559,-0.020118,-0.01359,-0.005995
45,0.034716,-0.141258,-7.45315,-0.019585,-0.013989,-0.005995
46,0.029928,-0.130484,-7.443573,-0.019985,-0.01279,-0.005329
47,0.031125,-0.142455,-7.459136,-0.020784,-0.013057,-0.005596
48,0.027533,-0.130484,-7.473501,-0.020917,-0.013856,-0.005462
49,0.041899,-0.142455,-7.465121,-0.020518,-0.013723,-0.005462
50,0.03711,-0.118513,-7.435194,-0.020651,-0.013723,-0.005063
51,0.014365,-0.123301,-7.443573,-0.020917,-0.013323,-0.005862
52,0.026336,-0.141258,-7.445967,-0.020784,-0.013723,-0.005329
53,0.038307,-0.120907,-7.455544,-0.019985,-0.012923,-0.005196
54,0.027533,-0.147243,-7.463924,-0.020784,-0.013723,-0.005462
55,0.046687,-0.137667,-7.465121,-0.020651,-0.01359,-0.005063
56,0.020351,-0.129287,-7.455544,-0.020784,-0.013323,-0.006129
57,0.186748,1.005565,-7.383718,-0.021583,-0.004263,-0.007994
58,-0.001197,1.127669,-7.455544,-0.023982,-0.006928,-0.006129
59,-0.221464,3.627216,-7.5561,-0.018786,-0.034374,-0.028112
60,0.426168,3.733757,-7.562086,-0.049029,-0.102055,-0.052626
61,0.316035,4.357447,-7.030573,0.060354,-0.42594,-0.06062
62,-0.120907,-0.701501,-5.893328,0.042767,0.140426,-0.040502
63,-0.9086,-0.751779,-7.25922,-0.035173,0.498818,-0.036106
