Time,Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z
89,1.930924,3.49314,-5.803545,-1.477401,-0.762349,-0.40822
90,1.189918,5.713762,-4.751293,-0.845619,0.277387,-0.12617
91,0.968455,7.285556,-3.889381,-0.628452,0.009459,-0.041168
92,0.833182,7.77517,-3.044227,-0.143357,0.0,-0.013989
93,0.90022,7.94875,-2.985569,0.03917,0.025714,0.030243
94,0.745794,7.317877,-3.296816,0.376911,-0.141625,0.046631
95,0.90022,6.317101,-4.932055,1.002165,-0.13936,0.123239
96,1.108515,3.995923,-6.440403,1.215602,0.178397,0.181594
97,1.765724,1.288081,-8.12592,1.042401,0.271658,0.137361
98,2.199074,-1.047463,-7.782352,0.956867,-0.087133,0.267262
99,2.200271,-3.084929,-7.462727,0.99124,-0.187989,0.25607
100,1.683124,-5.347449,-5.987898,0.983513,0.037971,0.225694
101,1.16837,-6.938396,-4.278439,0.637911,-0.10925,0.022783
102,0.939724,-7.710526,-3.143587,0.39996,-0.073277,-0.068348
103,1.362301,-7.757214,-3.417723,-0.349066,-0.221697,-0.355594
104,2.06859,-6.685808,-4.564546,-0.933551,-0.222496,-0.475236
105,2.466028,-4.867412,-5.951985,-0.868401,-0.207974,-0.615928
106,2.644396,-2.712631,-7.100005,-0.738101,0.006795,-0.793259
107,2.455254,-0.985214,-7.253234,-0.561836,-0.20944,-0.963928
108,2.135628,0.509965,-7.253234,-0.170802,-0.131766,-1.059588
109,1.705869,1.272518,-7.547721,-0.079672,-0.257536,-0.938747
110,1.584962,1.279701,-7.518991,-0.110715,-0.076874,-0.131899
111,1.294066,0.80086,-7.115568,0.024248,-0.311628,1.545349
112,1.571793,1.509544,-7.214927,-0.004663,-0.737701,2.239218
113,1.729811,1.144428,-7.156269,-0.101655,0.49109,1.688173
114,2.363077,1.156399,-7.764396,-0.506412,-0.120841,1.451821
115,2.166753,-0.063446,-6.676231,-0.09939,-0.521467,1.512441
116,1.553837,1.253365,-7.872135,-0.255671,-0.560371,0.679346
117,-0.094571,0.566229,-7.255628,0.305632,0.28325,-0.42141
118,0.379481,-0.052672,-6.785168,0.079806,0.352663,-1.716685
119,0.873884,0.893037,-7.900866,0.230357,-0.256737,-1.625421
120,1.053449,0.711078,-7.538144,0.441795,0.411951,-1.535623
121,-0.477643,1.063026,-7.514202,-0.079006,-1.145922,-2.03071
122,-0.164003,-1.869871,-8.92319,0.508544,0.047164,-1.728142
123,3.274071,-1.29646,-5.73531,0.401026,-0.492423,-2.024182
124,1.932121,-2.08535,-7.246051,-0.350132,0.715585,-2.165807
125,1.813608,0.667982,-7.723695,0.162142,-0.690671,-2.138628
126,4.505888,-0.046687,-6.795941,-0.140959,1.342971,-0.806449
127,4.294001,0.138864,-7.767987,0.176931,-0.254871,2.064285
128,1.681927,-1.934515,-6.900089,0.379443,0.387703,2.795191
129,-0.081403,-3.45603,-6.768408,-0.428871,0.410352,3.319989
130,0.653617,-0.802058,-7.299921,-1.002965,2.614397,2.514207
131,2.001553,0.137667,-7.334637,-0.906905,0.925957,1.776239
132,1.454478,1.142034,-6.731298,-0.310562,-0.536389,1.817541
133,1.161188,1.19351,-8.342596,-1.073178,0.816574,0.00866
134,1.94888,4.334702,-6.422446,-1.038005,-0.479366,-0.372515
135,-1.203086,4.708198,-5.523423,0.340406,-1.049196,-0.790861
136,-4.187459,3.465607,-5.579687,0.651634,-1.428106,-0.604337
137,-5.560534,0.603339,-5.267244,0.896779,0.483763,-0.645239
138,-3.321955,-1.752556,-6.721721,0.837758,1.487394,-0.379842
139,1.247379,-2.41575,-7.311892,-0.259002,1.691104,-1.080505
140,5.695806,-0.168791,-6.331466,-0.824435,1.340173,-0.626853
141,7.437588,1.155202,-5.222951,-0.812178,0.170136,-0.28658
142,4.85185,2.881422,-6.202179,-0.621391,-1.572928,-0.005729
143,0.829591,3.29083,-6.889316,0.102188,-2.087867,0.084335
144,-1.933318,2.515109,-6.610391,0.818839,-0.69187,-0.049162
145,-0.901417,0.428562,-8.176199,1.197882,1.180562,0.23049
146,0.00838,-1.151611,-7.100005,-0.261133,-0.97059,-0.177064
