Time,Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z
0,0.845153,0.258574,-7.41604,-0.020518,-0.010392,-0.005729
1,0.84635,0.240617,-7.422025,-0.021051,-0.011724,-0.006395
2,0.857124,0.238223,-7.441179,-0.021051,-0.011991,-0.005729
3,0.858321,0.244209,-7.45315,-0.021717,-0.011191,-0.006395
4,0.88346,0.251391,-7.431602,-0.020651,-0.011458,-0.006395
5,0.851139,0.23942,-7.413646,-0.02145,-0.012124,-0.004663
6,0.853533,0.234632,-7.410054,-0.020651,-0.012124,-0.005596
7,0.849942,0.262165,-7.447165,-0.02145,-0.011858,-0.005862
8,0.864307,0.254982,-7.426814,-0.020518,-0.011458,-0.006129
9,0.86311,0.250194,-7.431602,-0.021717,-0.011458,-0.005329
10,0.861913,0.254982,-7.431602,-0.020518,-0.011591,-0.005862
11,0.864307,0.225055,-7.435194,-0.020784,-0.011724,-0.006129
12,0.86311,0.229843,-7.430405,-0.021051,-0.012923,-0.005596
13,0.857124,0.223858,-7.445967,-0.020384,-0.011591,-0.005462
14,0.857124,0.253785,-7.431602,-0.020384,-0.012391,-0.005995
15,0.84635,0.241814,-7.435194,-0.021184,-0.012657,-0.005462
16,0.865504,0.23942,-7.424419,-0.021317,-0.011458,-0.005462
17,0.86311,0.235829,-7.422025,-0.021317,-0.010792,-0.006662
18,0.829591,0.245406,-7.430405,-0.020917,-0.012124,-0.005862
19,0.835576,0.2478,-7.424419,-0.02185,-0.011325,-0.006262
20,0.861913,0.245406,-7.443573,-0.020784,-0.012391,-0.005063
21,0.858321,0.232238,-7.429208,-0.020651,-0.012124,-0.005596
22,0.84635,0.23942,-7.44477,-0.019985,-0.012257,-0.006528
23,0.865504,0.251391,-7.445967,-0.020118,-0.012257,-0.006395
24,0.843956,0.257377,-7.426814,-0.02185,-0.011458,-0.006129
25,0.859518,0.244209,-7.445967,-0.02145,-0.011858,-0.005729
26,0.855927,0.233435,-7.443573,-0.020118,-0.012391,-0.005462
27,0.836774,0.250194,-7.425617,-0.02225,-0.011991,-0.006528
28,0.853533,0.260968,-7.408857,-0.02185,-0.011458,-0.005462
29,0.831985,0.235829,-7.435194,-0.019585,-0.012257,-0.006395
30,0.848745,0.248997,-7.431602,-0.021583,-0.011858,-0.006662
31,0.842759,0.243011,-7.443573,-0.020251,-0.011325,-0.005729
32,0.859518,0.264559,-7.426814,-0.021051,-0.011724,-0.005462
33,0.855927,0.250194,-7.420828,-0.020518,-0.011858,-0.006395
34,0.851139,0.251391,-7.404069,-0.020917,-0.010925,-0.005729
35,2.053028,-1.908179,-7.799112,0.013323,0.202911,0.003864
36,1.353921,-3.816358,-6.823475,-0.140959,0.026646,-0.013057
37,-1.31322,-2.020706,-5.876568,-0.0433,0.398761,0.06968
38,1.588553,3.89776,-7.645883,-0.167472,-2.306499,-0.045032
39,0.555455,-6.867768,-7.499837,0.179596,0.410485,-0.081937
40,5.513846,4.298789,-16.864758,-0.228092,0.021583,-0.080338
41,0.679953,-3.761291,-7.278373,0.15255,-1.007761,0.059421
42,0.818817,-2.117671,-5.155913,-0.001865,-0.677348,-0.01692
43,-0.186748,5.893328,-6.415264,-0.014655,-0.080338,-0.005729
44,0.307655,-0.272939,-7.433996,-0.019718,-0.008127,-0.009326
45,1.128866,1.55264,-11.098322,0.080205,0.194784,-0.019452
46,-4.559757,-4.088099,-4.801571,-0.061553,0.234487,-0.022383
