Elapsed Time (s), Actual Time, Emotion
2.61, 2025-01-08 21:14:51, neutral
3.22, 2025-01-08 21:14:51, neutral
4.10, 2025-01-08 21:14:52, neutral
5.15, 2025-01-08 21:14:53, neutral
6.13, 2025-01-08 21:14:54, neutral
6.96, 2025-01-08 21:14:55, neutral
7.76, 2025-01-08 21:14:56, neutral
9.40, 2025-01-08 21:14:57, neutral
10.16, 2025-01-08 21:14:58, neutral
10.90, 2025-01-08 21:14:59, happy
11.64, 2025-01-08 21:15:00, happy
12.39, 2025-01-08 21:15:00, happy
13.16, 2025-01-08 21:15:01, happy
13.79, 2025-01-08 21:15:02, happy
14.26, 2025-01-08 21:15:02, happy
14.73, 2025-01-08 21:15:03, happy
15.25, 2025-01-08 21:15:03, happy
16.01, 2025-01-08 21:15:04, happy
16.75, 2025-01-08 21:15:05, neutral
17.50, 2025-01-08 21:15:06, neutral
18.26, 2025-01-08 21:15:06, neutral
19.01, 2025-01-08 21:15:07, neutral
19.75, 2025-01-08 21:15:08, fear
20.51, 2025-01-08 21:15:09, fear
21.27, 2025-01-08 21:15:09, fear
22.03, 2025-01-08 21:15:10, fear
22.80, 2025-01-08 21:15:11, fear
23.58, 2025-01-08 21:15:12, fear
24.38, 2025-01-08 21:15:12, fear
25.18, 2025-01-08 21:15:13, fear
25.98, 2025-01-08 21:15:14, fear
26.79, 2025-01-08 21:15:15, fear
27.59, 2025-01-08 21:15:16, neutral
28.26, 2025-01-08 21:15:16, neutral
29.06, 2025-01-08 21:15:17, sad
29.70, 2025-01-08 21:15:18, neutral
30.53, 2025-01-08 21:15:19, neutral
31.19, 2025-01-08 21:15:19, angry
31.72, 2025-01-08 21:15:20, neutral
