Weights_0,Weights_1,Weights_2,Weights_3,Weights_4,Weights_5,Weights_6,Weights_7,Weights_8,Weights_9,Weights_10,Weights_11,Weights_12,Weights_13,Weights_14,Weights_15,Weights_16,Weights_17,Weights_18,Weights_19,Weights_20,Weights_21,Weights_22,Weights_23,Weights_24
1.128297514269472196e-01
1.123598923852959230e-01
1.076216245506406016e-01
9.861682605262214740e-02
9.941614398835040001e-02
9.612399173431367128e-02
9.245114349149095856e-02
7.688393347879285411e-02
6.808560585157379108e-02
5.994907771891729020e-02
5.572466974197077400e-02
5.109928971423156191e-02
4.368999597279293878e-02
3.203104909236154096e-02
2.265706900271345289e-02
1.525463822536634803e-02
7.237929450286661841e-03
-3.089155976011644881e-03
-1.331486754618673059e-02
-2.094127467917304697e-02
-2.629411300215087760e-02
-2.752942252503095752e-02
-3.530863416647540831e-02
-3.965999676639821864e-02
-4.509845764025234571e-02
